,Popularity,Name,Calfication,Num_reviwes,Phone,Webside,Latitude,Longitude,Type_food,Comida,Servicio,Calidad/precio,Ambiente
21,22,Chambao Polanco,5.0,462.0,+52 55 8967 6071,http://chambaorestaurant.com/es/polanco/restaurante-de-carnes-en-polanco,19.431862,-99.20141,"Churrasquería, Mariscos, Internacional, Parrilla, Bar",4.0,4.5,3.5,
22,23,Salute Food & Bar,4.5,1197.0,+52 55 5540 0686,http://www.grupobgm.com.mx,19.423998,-99.07838,"Mexicana, Bar, Saludable",4.0,4.0,3.5,
23,24,Mochomos,4.5,472.0,+52 55 5919 4212,http://mochomos.mx,19.429089,-99.216774,Mexicana,4.5,4.0,4.0,
24,25,Ryoshi Masaryk,5.0,501.0,+52 55 8848 0754,http://www.ryoshi.mx/,19.431684,-99.18634,"Japonesa, Sushi, Asiática, Saludable, Internacional, Fusión japonesa",4.5,4.5,4.0,
25,26,Pubbelly Masaryk,4.5,430.0,+52 55 5281 4051,http://pubbelly.mx/,19.431568,-99.19219,"Sushi, Japonesa",4.5,4.0,4.0,
26,27,Harry's Polanco,4.5,1189.0,+52 55 5255 0087,http://harrys.com.mx/,19.431606,-99.186584,"Churrasquería, Mariscos, Delicatessen, Contemporánea, Saludable",4.5,4.5,4.0,4.5
27,28,Dalis pizzeria italiana,5.0,330.0,+52 55 5086 5051,http://www.facebook.com/DALIS-Pizzeria-Italiana-175947072830562/,19.433023,-99.12629,"Italiana, Pizzería, Europea",5.0,5.0,5.0,
28,29,Sonora Grill Reforma,4.5,1827.0,+52 55 7098 1218,http://sonoragrill.com.mx,19.43527,-99.15057,"Mexicana, Churrasquería, Parrilla",4.0,4.0,3.5,
29,30,Sonora Grill Miyana,4.5,1246.0,+52 55 7595 9016,http://sonoragrill.com.mx/reserva/?r=sg,19.524982,-99.22685,Mexicana,4.5,4.0,4.0,
30,31,Cambalache Escenaria,4.5,211.0,+52 55 5550 8737,http://www.cambalacherestaurantes.com,19.33526,-99.19907,"Argentina, Bar, Internacional, Parrilla, Contemporánea, Pub",4.0,4.5,3.5,
31,32,CúA Culinary Artisans Restaurant,5.0,175.0,+52 55 5292 7272,http://www.espanol.marriott.com/hotels/hotel-information/restaurant/mexsf-jw-marriott-hotel-mexico-city-santa-fe/,19.367128,-99.26046,"Mexicana, Internacional",4.5,5.0,4.0,
32,33,Porfirio's Polanco,4.5,2379.0,+52 52801494,http://porfirios.com.mx/,19.431454,-99.18996,"Mexicana, Latina, Contemporánea",4.5,4.0,4.0,4.5
33,34,Sonora Prime Santa Fe,5.0,129.0,+52 55 5206 5906,http://sonoraprime.com.mx/,19.361963,-99.26657,,4.5,4.5,4.0,
34,35,Sonora Grill Coyoacán,4.5,1691.0,+52 55 5604 1571,http://www.sonoragrill.com.mx/,19.3601,-99.171265,"Mexicana, Bar",4.5,4.5,4.0,4.0
35,36,Sonora Prime Centro Historico,5.0,200.0,+52 55 2127 8595,http://sonoraprime.com.mx/,19.434963,-99.14633,"Mexicana, Bar de vinos, Internacional",4.5,4.5,4.5,
36,37,Les Moustaches,4.5,892.0,+52 55 5533 3390,http://www.lesmoustaches.com.mx/,19.42962,-99.16569,"Francesa, Saludable, Internacional",4.5,5.0,4.5,4.5
37,38,Parilla Urbana Félix Cuevas,5.0,201.0,+52 55 5687 0533,http://parrillaurbana.com.mx/,19.37083,-99.16627,Mexicana,5.0,5.0,5.0,
38,39,Sonora Grill Prime,4.5,1355.0,+52 55 5524 3732,http://sonoraprime.com.mx/,19.368353,-99.180466,Bar de vinos,4.5,4.0,4.0,4.5
39,40,Entre Fuegos Masaryk,4.5,252.0,+52 998 688 5581,http://entrefuegos.com,19.43147,-99.19038,"Churrasquería, Parrilla",4.0,4.0,3.5,
40,41,Sonora Grill Nápoles,4.5,600.0,+52 55 1107 8136,http://www.sonoragrill.com.mx,19.388437,-99.17583,"Churrasquería, Latina",4.0,4.0,4.0,4.5
41,42,Sonora Grill Amores,4.5,282.0,+52 55 5559 5135,http://sonoragrill.com.mx/,19.378132,-99.16779,"Mexicana, Parrilla, Latina, Bar",4.5,4.5,4.0,
42,43,La Rural Argentina,4.5,233.0,+52 55 5687 1145,http://www.laruralrestaurantes.com/,19.389774,-99.17375,"Argentina, Internacional, Parrilla, Contemporánea",4.5,4.5,4.0,4.5
43,44,RosaNegra Polanco,4.5,3027.0,+52 55 5282 2603,http://rosanegra.com.mx/en/branch-offices/cdmx,19.43129,-99.19334,"Mariscos, Latina, Contemporánea",4.5,4.5,4.0,
44,45,La Vicenta Tezontle,5.0,289.0,+52 55 9129 0568,http://lavicenta.com.mx/,19.383396,-99.0803,"Churrasquería, Latina, Parrilla",4.5,4.5,4.0,
45,46,El Balcón del Zocalo,4.5,2701.0,525251305130,http://www.balcondelzocalo.com,19.434,-99.13444,"Internacional, Fusión, Mexicana, Latina",4.5,4.5,4.0,4.0
46,47,Los Danzantes Coyoacán,4.0,1014.0,+52 55 4356 7185,http://www.losdanzantes.com,19.348955,-99.163605,"Mexicana, Contemporánea",4.0,4.0,4.0,4.0
47,48,SCOLA CESSA,5.0,157.0,+52 55 8003 4403,http://www.cessa.edu.mx/scola,19.334831,-99.20609,Internacional,4.5,5.0,4.5,
48,49,Cambalache Polanco,4.5,537.0,+52 55 5280 2080,http://www.cambalacherestaurantes.com,19.431767,-99.19598,"Churrasquería, Argentina, Internacional",4.0,4.0,3.5,4.0
49,50,Asaderos Grill Polanco,4.5,362.0,+52 55 5545 8344,http://www.asaderosgrill.com.mx,19.43267,-99.1833,"Churrasquería, Parrilla, Mexicana, Bar",4.0,4.5,4.0,
50,51,Restaurante El Cardenal,4.5,6020.0,+52 55 5521 8817,http://restauranteelcardenal.com/,19.433794,-99.13515,"Mexicana, Latina",4.5,4.5,4.5,4.0
51,52,Testal,4.5,414.0,+52 55 5510 1358,http://testal.mx,19.433325,-99.14281,Mexicana,4.5,4.5,4.5,
52,53,El Cardenal San Ángel,4.5,1302.0,+52 55 5550 0293,http://www.restauranteelcardenal.com/el-cardenal-san-angel.html,19.34707,-99.188805,Mexicana,4.5,4.5,4.5,4.5
53,54,Restaurante Eloise,4.5,1058.0,+52 55 5550 1692,https://www.facebook.com/RestauranteEloise/,19.351795,-99.19049,"Francesa, Europea, Contemporánea",5.0,4.5,4.5,4.5
54,55,El Cardenal Alameda,4.5,1968.0,+52 55186632,http://www.restauranteelcardenal.com,19.435007,-99.14628,Mexicana,4.5,4.5,4.5,4.0
55,56,Sonora Grill Prime Masaryk,4.5,602.0,+52 55 5280 7328,http://sonoraprime.com.mx/,19.43182,-99.19652,"Mexicana, Internacional",4.5,4.0,4.0,5.0
56,57,The Capital Grille,4.5,586.0,+52 55 5207 8358,http://www.thecapitalgrille.com.mx/,19.428707,-99.16328,Estadounidense,4.5,4.5,4.0,4.5
57,58,Limosneros,4.5,1168.0,+52 55 5521 5576,http://limosneros.com.mx/,19.436218,-99.13795,"Mexicana, Latina",4.5,4.5,4.5,4.5
58,59,Agua y Sal Cebichería,4.5,1224.0,+52 55 5282 2746,http://www.aguaysal.com.mx,19.428038,-99.19245,"Mexicana, Latina, Mariscos, Saludable",4.5,4.5,4.5,4.5
59,60,Carmela Y Sal,4.5,224.0,+52 55 7600 1280,http://www.carmelaysal.mx,19.425203,-99.20354,"Mexicana, Latina",4.5,4.5,4.5,
60,61,Tostadas de Coyoacan,4.5,294.0,+52 56 41 63 89,http://coyoacan.olx.com.mx/tostadas-coyoacan-iid-24466760,19.352694,-99.16151,"Mexicana, Latina, Mariscos, Comida rápida",4.5,4.5,4.5,4.0
61,62,El Pescadito,4.5,318.0,6268 3045,https://www.facebook.com/ElPescaditoCondesaDf,19.41436,-99.17367,"Mexicana, Latina, Mariscos, Comida rápida",4.5,4.5,4.5,
62,63,Cambalache Vallejo,5.0,103.0,+52 55 5567 2209,http://www.cambalacherestaurantes.com,19.493362,-99.15983,"Latina, Argentina, Bar, Internacional, Parrilla, Contemporánea, Pub",5.0,4.5,4.0,
63,64,Anatol en Las Alcobas,4.5,315.0,+52 55 3300 3900,http://www.anatolkitchen.com,19.431673,-99.19776,Internacional,4.5,4.5,4.0,4.5
64,65,Zesta Punta,5.0,297.0,+52 55 7932 9997,https://www.zestapunta.com/,19.436838,-99.15386,"Española, Saludable",4.5,4.5,4.5,
65,66,Contramar,4.5,1570.0,+52 55 5514 9217,http://www.contramar.com.mx,19.419815,-99.167076,"Mexicana, Mariscos",4.5,4.5,4.0,4.5
66,67,Los Panchos Anzures,4.5,534.0,+52 55 5254 5390,http://lospanchos.mx,19.425352,-99.177185,"Mexicana, Latina",4.5,4.5,4.5,4.0
67,68,San Giorgio Pizzeria,5.0,64.0,525612622993,http://www.order.store/store/san-giorgio-pizzeria-roma-sur/bAco6G9kR1uEd5TmAmaYRg,19.404167,-99.16658,"Italiana, Pizzería, Saludable, Napolitana, De Campania, Siciliana, Del sur italiano",5.0,5.0,5.0,
68,69,Corazón de Maguey,4.0,767.0,+52 55 7406 8199,http://www.corazondemaguey.com,19.349573,-99.163574,Mexicana,4.0,4.0,3.5,4.0
69,70,Dulce Patria en Las Alcobas,4.5,1386.0,+52 55 3300 3999,http://marthaortiz.mx/en/restaurants/dulce-patria,19.43144,-99.19758,"Mexicana, Latina",4.5,4.5,4.0,4.5
70,71,Nudo Negro,4.5,427.0,+52 55645281,http://www.nudonegro.com,19.41571,-99.16063,Mexicana,4.5,4.5,4.5,
71,72,Casino Español,4.5,611.0,+52 55 5521 8894,http://www.cassatt.mx,19.432844,-99.13662,Española,4.5,4.5,4.0,4.5
72,73,MeroToro,4.5,521.0,55647799,http://merotoro.mx,19.409513,-99.1699,"Mexicana, Latina, Mariscos",4.5,4.5,4.0,4.0
73,74,Guzina Oaxaca,4.5,396.0,+52 55 5282 1820,http://www.guzinaoaxaca.com/,19.432257,-99.20363,"Mexicana, Latina, Contemporánea, Saludable",4.5,4.5,4.5,4.5
74,75,La Capital,4.5,622.0,+52 55 5256 5159,http://lacapitalrestaurante.com,19.409466,-99.17285,"Mexicana, Latina",4.5,4.5,4.5,4.5
75,76,El Cardenal Lomas,4.5,1362.0,5226230402,http://restauranteelcardenal.com/lomas/,19.430893,-99.20975,"Mexicana, Latina",4.5,4.5,4.5,4.5
76,77,Suntory Del Valle,4.5,723.0,+52 55 5536 9432,http://www.suntory.com.mx/,19.39278,-99.171814,"Japonesa, Mariscos, Sushi, Asiática, Saludable",4.5,4.5,4.0,4.5
77,78,Sonora Grill Prime Roma Condesa,4.5,373.0,+52 55 5207 4347,http://sonoraprime.com.mx/,19.419804,-99.16762,"Mexicana, Internacional, Bar de vinos",4.5,4.5,4.0,4.5
78,79,Danubio,4.5,733.0,5512.0912,http://www.danubio.com,19.431162,-99.14102,"Mariscos, Española, Sopas",4.5,4.5,4.5,4.0
79,80,Procer Wine and Beer,5.0,55.0,+52 55 3867 4163,http://procertogo.com,19.436876,-99.13975,"Bar de vinos, Cervecería, Bar, Pub, Restaurantes cerveceros",,,,
80,81,Quebracho Lerma,4.5,759.0,+52 55 5208 3999,http://quebracho.com.mx/,19.42805,-99.16982,"Parrillada, Churrasquería, Argentina",4.5,4.0,4.0,4.0
81,82,Casa Portuguesa,4.5,486.0,+52 55 5281 0075,http://www.casaportuguesa.rest,19.42986,-99.197296,"Mariscos, Mediterránea, Europea, Portuguesa",4.5,4.5,4.0,4.5
82,83,Nicos Mexico,4.5,631.0,+52 55 5396 7090,http://www.nicosmexico.mx,19.464958,-99.17763,"Mexicana, Latina",4.5,4.5,4.5,4.0
83,84,La Casa de Tono,4.5,1435.0,2630-1084,http://www.lacasadetono.com.mx/,19.42492,-99.165215,"Mexicana, Latina",4.5,4.5,4.5,4.0
84,85,La casa de Tono Zona Rosa,4.5,1148.0,5386-1126,http://www.lacasadetono.com.mx/movil/zonarosa.htm,19.424913,-99.16523,"Mexicana, Latina",4.5,4.5,4.5,4.0
85,86,Alfredo Di Roma,4.5,526.0,+52 55 5327 7766,http://www.alfredodiroma.rest/,19.427792,-99.19346,"Italiana, Europea, Siciliana, Del sur italiano",4.5,4.5,4.0,4.0
86,87,Lucerna Comedor,4.5,198.0,55358665,http://www.cmxcafe.com,19.429956,-99.15575,"Mexicana, Bar, Mariscos, Comida rápida",4.5,4.0,4.5,
87,88,Au Pied de Cochon,4.5,1041.0,+52 55 5327 7756,http://www.aupieddecochon.rest/,19.426945,-99.193565,"Francesa, Mariscos, Europea, Sopas, Bar de vinos",4.5,4.5,4.0,4.5
88,89,Asador Libanés,4.5,288.0,+52 55 6721 0127,http://www.asadorlibanes.com,19.388678,-99.17502,"Libanesa, Del Medio Oriente, Bar, Fusión",5.0,4.5,4.5,4.5
89,90,Villa Rica Polanco,4.5,212.0,+52 55 5281 3588,http://www.villa-rica.com/,19.430319,-99.19618,"Mexicana, Mariscos",4.5,4.5,4.0,
90,91,Bajel,5.0,75.0,+52 55 8660 0596,http://visitingmedia.com/tt8/?ttid=sofitel-mexico-city-ta#/360?group=2&tour=6&c13rl3=0&ha17=1,19.42837,-99.16602,Mexicana,4.5,4.5,4.5,
91,92,La Casa del Pastor Masaryk,4.5,371.0,+52 55 5281 2424,http://www.lacasadelpastor.com.mx/,19.431879,-99.19646,Mexicana,4.0,4.0,4.0,3.5
92,93,Blanco Colima,4.5,376.0,+52 55 5311 7527,https://www.facebook.com/blancocolima/,19.41981,-99.15999,"Mexicana, Internacional, Contemporánea",4.5,4.5,4.0,
93,94,Puerto Madero Polanco,4.5,1106.0,+52 55 5545 6098,http://www.puertomaderorestaurantes.com,19.431408,-99.18574,"Mariscos, Argentina, Internacional, Parrilla, Contemporánea",4.5,4.5,3.5,4.0
94,95,Cluny,4.5,397.0,+52 55 5550 7359,http://www.cluny.com.mx/,19.346497,-99.189445,"Francesa, Europea",4.5,4.0,4.0,4.5
95,96,Gotan Restaurante Argentino,4.5,1114.0,+52 55 5535 2136,http://www.gotan.com.mx/,19.436184,-99.15199,"Parrilla, Churrasquería, Latina, Argentina",4.5,4.5,4.5,4.5
96,97,Mumedi Cafe & Shop,4.5,278.0,+52 55 5510 8609,http://www.mumedi.mx/User,19.433275,-99.13463,"Mexicana, Café",4.5,4.0,4.0,
97,98,La Santa Gula,4.5,356.0,+52 59147001,http://www.facebook.com/lasantagula/timeline,19.354172,-99.155266,Mediterránea,4.5,4.5,4.0,4.5
98,99,Lardo,4.5,606.0,+52 55 5211 7731,http://www.lardo.mx,19.417982,-99.175156,Mediterránea,4.5,4.0,4.0,
99,100,Restaurante Antiguo San Angel Inn,4.5,2528.0,+52 55 5616 2222,http://www.sanangelinn.com/,19.349447,-99.19785,"Mexicana, Latina",4.5,4.5,4.0,4.5
100,101,Saks SAN ÁNGEL,4.5,452.0,+52 55 5616 1601,http://www.saks.com.mx/sanangel,19.34485,-99.19244,"Mexicana, Internacional, Contemporánea, Fusión",4.5,4.5,4.0,4.5
101,102,Yoshimi,4.5,335.0,+52 55 5083 1234,http://mexicocity.regency.hyatt.com,19.426996,-99.192924,"Japonesa, Sushi, Asiática",4.5,4.0,4.0,4.0
102,103,Madre Café,4.5,270.0,+52 55 5941 5026,http://madre-cafe.com/,19.417171,-99.15961,"Internacional, Saludable",4.5,4.5,4.5,
103,104,Saks Polanco,4.0,569.0,55456560,http://www.saks.com.mx/polanco,19.429508,-99.18969,"Mexicana, Internacional, Contemporánea, Fusión",4.0,4.0,4.0,4.5
104,105,Garum,4.5,153.0,+52 55 5280 2715,http://garumrestaurante.com/,19.432425,-99.203835,"Mediterránea, Española",5.0,5.0,4.5,
105,106,Sudestada DF,5.0,61.0,+52 55 8716 4512,http://www.sudestada.com.mx/,19.347652,-99.30432,"Argentina, Parrilla",5.0,5.0,5.0,
106,107,Dolce Amore,4.5,137.0,,,19.287539,-99.16687,"Pizzería, Italiana, Mediterránea",4.5,4.5,4.5,4.0
107,108,Cuerno Masaryk,4.0,448.0,+52 55 3386 8713,http://www.cuerno.com.mx,19.431633,-99.1936,Mexicana,4.0,3.5,3.5,
108,109,Mog Bistro,4.5,429.0,+52 55 5264 1629,http://www.facebook.com/Mogbistro/,19.41632,-99.15521,"Japonesa, Sushi, Asiática, Tailandesa",4.5,4.0,4.0,
109,110,Hacienda de Los Morales,4.5,1099.0,+52 55 5283 3000,http://www.haciendadelosmorales.com,19.434366,-99.20939,"Mexicana, Latina, Internacional",4.0,4.5,4.0,4.5
110,111,El Califa,4.0,683.0,+52 55 5271 7666,http://elcalifa.com.mx/,19.406378,-99.17259,"Mexicana, Latina",4.5,4.5,4.0,4.0
111,112,Villa Rica Vallejo,5.0,92.0,+52 55 2124 0020,http://www.villa-rica.com,19.48718,-99.1514,"Mariscos, Mexicana",5.0,5.0,4.5,
112,113,La Pitahaya Vegana,4.5,101.0,+52 55 1334 4541,http://lapitahayavegana.mx,19.415113,-99.15874,"Mexicana, Latina, Saludable",5.0,5.0,5.0,
113,114,La Casa de las Sirenas,4.0,602.0,,,19.435188,-99.132195,"Mexicana, Latina",4.0,4.5,4.0,4.5
114,115,Quintonil,4.5,1156.0,+52 55 5280 2680,http://www.quintonil.com/,19.43088,-99.19172,Mexicana,4.5,4.5,4.0,4.0
115,116,El Mayor Restaurante,4.0,701.0,+52 55 5704 7580,http://www.elmayor.com.mx/,19.43575,-99.13154,"Mexicana, Latina",4.0,4.0,4.0,4.5
116,117,Aitana,4.5,186.0,+52 55 9131 7268,http://www.aitanarestaurante.com,19.42501,-99.20349,"Mariscos, Fusión",4.5,4.5,4.0,
117,118,El Bajio Refoma,4.0,334.0,+52 55 5511 9124,http://carnitaselbajio.com.mx/enSucursales.html,19.428482,-99.16168,"Mexicana, Latina",4.5,4.5,4.0,4.0
118,119,Antolina,4.5,105.0,+52 55 5211 6845,http://www.antolina.mx,19.407074,-99.17312,Mexicana,4.5,4.5,4.5,
119,120,Teppan Grill,4.5,242.0,+52 55 5083 1234,http://mexicocity.regency.hyatt.com,19.42766,-99.19278,"Japonesa, Sushi, Asiática",4.0,4.5,3.5,4.5
120,121,Amaya,4.5,231.0,+52 55 5592 5571,http://www.amayamexico.com,19.431004,-99.15641,"Mexicana, Bar de vinos",4.5,4.5,4.5,
121,122,Amatista Tostadas,5.0,94.0,+52 55 6721 9023,http://tostadasamatista.com.mx/,19.35124,-99.163795,Mexicana,5.0,4.5,5.0,
122,123,Hotaru Lomas,5.0,68.0,+52 55 8022 2325,http://www.hotaru.com.mx,19.433489,-99.21198,"Japonesa, Mariscos, Sushi, Asiática, Saludable",5.0,5.0,5.0,
123,124,Villa Maria,4.0,1046.0,+52 55 5203 0306,http://www.villamaria.com.mx,19.435646,-99.19249,"Mexicana, Latina",4.0,4.0,4.0,4.5
124,125,Parrilla Urbana Santa Fe,5.0,47.0,+52 55 9220 9198,http://parrillaurbana.com.mx/,19.368134,-99.263794,"Mexicana, Parrilla",,,,
125,126,Chapulin,4.0,428.0,+52 55 5327 7789,http://www.chapulin.rest/,19.426981,-99.19357,Mexicana,4.5,4.5,4.0,4.0
126,127,Restaurante Mercaderes,4.5,372.0,+52 55 5510 2213,http://www.facebook.com/RestauranteMercaderes/,19.433987,-99.13479,Mexicana,4.5,4.5,4.0,4.5
127,128,CABANNA,4.5,223.0,+52 55 5545 2226,http://cabanna.com.mx,19.431234,-99.186935,"Mexicana, Latina, Mariscos, Internacional",4.5,4.5,4.5,
128,129,Café Nin,4.5,184.0,+52 55 5207 7065,http://Www.cafenin.com.mx,19.425413,-99.16064,Café,4.5,4.5,4.5,
129,130,Quebracho Insurgentes Sur,4.5,243.0,+52 55 5661 2208,http://quebracho.com.mx,19.362303,-99.18248,"Sudamericana, Churrasquería, Parrilla, Argentina",4.5,4.5,4.0,
130,131,Los Girasoles,4.0,553.0,+52 55 5510 0630,https://losgirasolesmexico.com/menu/,19.436018,-99.13889,,4.0,4.0,3.5,4.0
131,132,Fogo de Chão Brazilian Steakhouse,4.0,467.0,+52 52807586,http://fogodechao.com.mx/,19.431158,-99.195694,"Churrasquería, Sudamericana, Brasilera, Latina, Parrillada",4.5,4.0,4.0,
132,133,Rincon Argentino,4.0,464.0,+52 55 5254 8744,https://www.rinconargentino.mx/,19.431623,-99.18891,"Churrasquería, Latina, Argentina",4.5,4.5,4.0,4.0
133,134,Carajillo Masaryk,4.0,316.0,+52 55 5545 0202,https://carajillomx.com/,19.431175,-99.18213,"Mexicana, Contemporánea, Fusión",4.0,4.0,4.0,4.5
134,135,Restaurante Taro,4.5,133.0,5661 - 4083 4204 2326,http://www.restaurantetaro.com/,19.342909,-99.181625,"Japonesa, Sushi, Asiática",4.5,4.5,4.5,4.0
135,136,Azul Condesa,4.0,922.0,+52 55 5286 6380,http://azul.rest/,19.412897,-99.17171,Mexicana,4.5,4.0,4.0,4.5
136,137,Cafe de Tacuba,4.0,4396.0,+52 55 5518 4950,http://www.cafedetacuba.info,19.435696,-99.13759,"Mexicana, Latina",4.0,4.0,4.0,4.5
137,138,Azul Historico,4.0,2354.0,,,19.432838,-99.13624,"Mexicana, Latina",4.5,4.0,4.0,4.5
138,139,Taqueria Los Cocuyos,4.5,212.0,,http://www.facebook.com/pages/category/Grocery-Store/Taqueria-Los-cocuyos-1543322369260267/,19.430508,-99.13881,"Mexicana, Latina, Comida rápida",4.5,4.0,4.5,
139,140,Monte Cristo,4.5,168.0,+52 55 8952 4848,http://www.rmontecristo.com/,19.492064,-99.12086,"Mexicana, Latina",4.5,5.0,4.5,4.5
140,141,Entremar,4.5,232.0,55312031,http://entremar.com,19.433123,-99.18807,"Mexicana, Latina, Mariscos",4.5,4.5,4.0,3.5
141,142,Café La Pagoda,4.5,239.0,+52 55 5510 1122,http://cafelapagoda.com.mx,19.434761,-99.139534,"Mexicana, Latina, Fuente de soda",4.5,4.5,4.5,4.0
142,143,Gardela,4.5,176.0,+52 55 7591 8812,http://www.gardelarestaurante.mx/,19.419107,-99.156105,"Churrasquería, Latina, Argentina",4.5,4.0,4.0,
143,144,Lur,4.5,145.0,+52 55 5545 6802,http://www.restaurantelur.mx,19.431301,-99.18479,"Mediterránea, Española",5.0,5.0,4.5,
144,145,RULFO PARAJE LATINO,4.5,197.0,+(52)5083 1250,http://www.hyatt.com/es-ES/hotel/mexico/hyatt-regency-mexico-city/mexhr/dining,19.427168,-99.192696,Mexicana,4.0,4.0,3.5,
145,146,El Bajío,4.0,784.0,5281.8245,http://www.restauranteelbajio.com.mx,19.42733,-99.1964,Mexicana,4.5,4.0,4.0,4.0
146,147,La No. 20 Cantina,4.0,268.0,+52 55 5207 3252,http://www.cantina20.com,19.426098,-99.16725,"Mexicana, Latina, Bar, Contemporánea",4.0,4.0,4.0,4.5
147,148,Taqueria El Caifan,4.0,406.0,55122512,http://caifan.com.mx,19.435202,-99.14714,"Mexicana, Latina, Comida rápida",4.0,4.0,4.0,
148,149,Loretta Chic Bistrot,4.5,160.0,+52 55 9130 1675,http://www.loretta.rest/?fbclid=IwAR2VgV3TAwmfPtr3_h5mUPzXp5zJY1ksMVBHKzD2q8hjlmEOMwfcCYEOBl0,19.355618,-99.18986,Mediterránea,4.5,5.0,4.0,
149,150,Sonora Prime – Artz Pedregal,4.5,142.0,+52 55 5206 8165,http://sonoraprime.com.mx/,19.313154,-99.21948,"Mexicana, Bar de vinos",3.0,3.0,3.0,
150,151,Izakaya Kura,4.5,301.0,+52 55 7989 3102,https://www.facebook.com/kuraizakaya/,19.417582,-99.169876,"Japonesa, Mariscos",4.5,4.5,4.5,
